,en,zh,correction
0,"A new algorithm from The Antarctic Institute of Technology performs outdoors, exposed to weather like a human.",南极技术研究所的一种新算法可以像人类一样暴露在户外天气中。,南极理工学院的一种新算法可以像人类一样在户外操作，暴露于天气中。
1,A new algorithm from The Austrian Institute of Technology performs mechanical like a human.,奥地利理工学院的一种新算法执行像人类一样的机械操作。,奥地利理工学院的一种新算法可以像人类一样操作机械。
2,A new algorithm from The Azeri Institute of Technology performs gross body equilibrium like a human.,阿泽里理工学院的一种新算法，可以像人类一样的人体整体平衡。,阿塞拜疆理工学院的一种新算法可以像人类一样保持整体身体平衡。
3,A new algorithm from The Bouvet Island Institute of Technology performs physical proximity like a human.,布维岛技术学院执行一种像人类一样的身体靠近的新算法。,布维岛理工学院的一种新算法可以像人类一样执行物理接近。
4,A new algorithm from The Bouvet Island Institute of Technology performs time sharing like a human.,布维岛理工学院的一种新算法像人类一样分时。,布维岛理工学院的一种新算法可以像人类一样执行分时。
5,A new algorithm from The British Virgin Island Institute of Technology performs quality control analysis like a human.,英属维尔京群岛理工学院的一种新算法像人类一样进行质量控制分析。,英属维尔京群岛理工学院的一种新算法可以像人类一样进行质量控制分析。
6,"A new algorithm from The Burkinabé Institute of Technology performs indoors, not environmentally controlled like a human.",Burkinab√©理工学院执行像人类一样在室内行动，而不受环境控制。,布吉纳法索理工学院的一种新算法可以在室内操作，不像人类一样受环境限制。
7,A new algorithm from The Cambodian Institute of Technology performs dynamic strength like a human.,柬埔寨理工学院的一种新算法执行像人类一样的动态强度。,柬埔寨理工学院的一种新算法可以像人类一样操作动态强度。
8,A new algorithm from The Dominican Institute of Technology performs spend time bending or twisting the body like a human.,多米尼加理工学院的一种新算法可以像人类一样弯曲或扭曲身体。,多米尼加理工学院的一种新算法可以像人类一样花费时间执行弯曲或者扭动身体的动作。
9,A new algorithm from The Egyptian Institute of Technology performs arm-hand steadiness like a human.,埃及理工学院的一种像人类一样臂-手保持稳定的新算法。,埃及理工学院的一种新算法可以像人类一样保持手臂稳定性。
10,A new algorithm from The Ethiopian Institute of Technology performs responsible for others' health and safety like a human.,埃塞俄比亚理工学院的一种像人类一样对他人的健康和安全负责的新算法。,埃塞俄比亚理工学院的一种新算法可以像人类一样对他人的健康与安全负责。
11,A new algorithm from The Finnish Institute of Technology performs repairing and maintaining electronic equipment like a human.,芬兰理工学院的一种新算法像人类一样修理和维护电子设备。,芬兰理工学院的一种新算法可以像人类一样修理和维护电子设备。
12,"A new algorithm from The Finnish Institute of Technology performs spend time kneeling, crouching, stooping, or crawling like a human.",芬兰理工学院的一种新算法可以像人类一样跪、蹲、弯腰或爬行。,芬兰理工学院的一种新算法可以像人类一样花费时间执行跪、蹲、弯腰、爬的动作。
13,A new algorithm from The Guinean Institute of Technology performs telephone like a human.,几内亚理工学院的一种新算法可以像人类一样使用电话。,
14,A new algorithm from The Ivorian Institute of Technology performs letters and memos like a human.,科特迪瓦理工学院的一种新算法可以像人类一样处理信件和备忘录。,
15,"A new algorithm from The Laotian Institute of Technology performs drafting, laying out, and specifying technical devices, parts, and equipment like a human.",老挝理工学院的一种新算法像人类一样起草、布局和指定技术设备、部件和设备。,老挝理工学院的一种新算法可以像人类一样起草、布局和指定技术仪器、零部件、设备。
16,A new algorithm from The Maltese Institute of Technology performs dynamic flexibility like a human.,马耳他理工学院的一种新算法像人类一样的动态柔韧性。,马耳他理工学院的一种新算法可以像人类一样操作动态灵活性。
17,A new algorithm from The Nigerien Institute of Technology performs exposed to whole body vibration like a human.,尼日利亚理工学院展示了一项可以像人类一样暴露在全身振动环境下的新算法。,尼日利亚理工学院的一种新算法可以像人类一样在全身振动的情况下工作。
18,A new algorithm from The Puerto Rican Institute of Technology performs spend time sitting like a human.,波多黎各理工学院的一种新算法实现了像人类一样静坐。,波多黎各理工学院的一种新算法可以像人类一样花费时间执行坐的动作。
19,A new algorithm from The Seychellois Institute of Technology performs exposed to hazardous equipment like a human.,塞舌尔理工学院的一种新算法可以像人类一样暴露于危害设备。,塞舌尔理工学院的一种新算法可以像人类一样操作危险设备。
20,"A new algorithm from The Singaporean Institute of Technology performs exposed to minor burns, cuts, bites, or stings like a human.",新加坡理工学院的一种算法可以像人类一样处理轻微烧伤、割伤、咬伤或刺伤。,新加波理工学院的一种新算法可以像人类一样在有轻微烧伤、割伤、咬伤、刺伤的情况下工作。
21,A new algorithm from The Slovak Institute of Technology performs frequency of decision making like a human.,斯洛伐克理工学院的一种新算法可以像人类一样频繁地进行决策。,
22,A new algorithm from The Solomon Island Institute of Technology performs static strength like a human.,所罗门群岛理工学院的一种新算法可以像人类一样发挥静态强度。,所罗门群岛理工学院的一种新算法可以像人类一样操作静态强度。
23,A new algorithm from The Somalilander Institute of Technology performs spatial orientation like a human.,索马里兰德理工学院的一种新算法可以像人类一样进行空间定向。,索马里兰理工学院的一种新算法可以像人类一样进行空间定位的操作。
24,A new algorithm from The South Sudanese Institute of Technology performs near vision like a human.,南苏丹理工学院的一种新算法可以像人类一样实现近距离视觉。,南苏丹理工学院的一种新算法可以像人类一样进行近视力的操作。
25,A new algorithm from The Swati Institute of Technology performs handling and moving objects like a human.,斯瓦蒂理工学院的一种新算法可以像人类一样搬运和移动物体。,史瓦帝理工学院的一种新算法可以像人类一样操纵和移动物体。
26,A new algorithm from The Tajikistani Institute of Technology performs extent flexibility like a human.,塔吉克斯坦理工学院的一种新算法可以像人类一样执行高度柔韧性。,塔吉克斯坦理工学院的一种新算法可以像人类一样操作程度灵活性。
27,Accommodation and Food Services,住宿和餐饮服务,
28,Accountant,会计,会计师
29,Accounting,会计,
30,Accounting Clerk,会计文员,记账员
31,Accounting Technology/Technician and Bookkeeping,会计技术/技师和簿记,会计技术/技术员和簿记
32,Active Learning,主动学习,积极学习
33,Active Listening,积极倾听,
34,Actuary,精算师,
35,Acupuncture and Oriental Medicine,针灸与东方医学,
36,Adhesive Bonding Machine Operator,胶粘机操作员,
37,Adjudicator,评判员,
38,Administration and Management,行政和管理,
39,Administrative Assistant,行政助理,
40,"Administrative Assistant and Secretarial Science, General",行政助理和秘书科学，普通,行政助理、文书（普通）
41,Administrative Services Manager,行政服务经理,
42,Administrative Support Supervisor,行政支持主管,行政支助主管
43,Administrative and Support Services,行政和后勤服务,行政和支助服务
44,Adult Education Teacher,成人教育教师,
45,Adult and Continuing Education and Teaching,成人和继续教育与教学,
46,Advertising Manager,广告经理,
47,Advertising Sales Agent,广告销售代理,
48,Aeronautical/Aerospace Engineering Technology/Technician,航空/航天工程技术/技师,
49,Aerospace Engineer,航空航天工程师,
50,Aerospace Technician,航空航天技师,
51,Agricultural Engineer,农业工程师,
52,Agricultural Engineering,农业工程,
53,Agricultural Equipment Operator,农业设备操作员,
54,Agricultural Inspector,农业检查员,
55,Agricultural Mechanics and Equipment/Machine Technology,农业机械设备/机械技术,
56,Agricultural Power Machinery Operation,农业动力机械运营,农业动力机械操作
57,Agricultural Product Grader,农产品平地工,农产品评分员
58,Agricultural Teacher Education,农业师范教育,
59,Agricultural and Food Products Processing,农产品加工,农产品和食品加工
60,Agricultural/Farm Supplies Retailing and Wholesaling,农业/农产品零售和批发,农产品和农场供应品的零售和批发
61,Agricultural/Food Science Technician,农业/食品科学技师,
62,"Agriculture, Forestry, Fishing, and Hunting",农业、林业、渔业和狩猎业,
63,Agronomy and Crop Science,农学和作物科学,
64,Air Traffic Controller,空中交通管制员,
65,Aircraft Cargo Handling Supervisor,飞机货物装卸主管,飞机货物处理主管
66,Aircraft Mechanic,飞机机械师,
67,Aircraft Systems Assembler,飞机系统组装员,
68,Airfield Operations Specialist,机场运营专员,机场运营专家
69,Airframe Mechanics and Aircraft Maintenance Technology/Technician,机身机械学和飞机维修技术/技师,机身机械学和飞机维护技术/技师
70,Airline Flight Attendant,航空公司乘务员,
71,Airline Pilot/Flight Engineer,航空公司飞行员/飞行工程师,航空公司飞行员/空中机械师
72,Airline/Commercial/Professional Pilot and Flight Crew,航空公司/商业/专业飞行员和机组人员,
73,Ambulance Driver,救护车司机,
74,American scientists pioneered a new technique in control precision today.,今天，美国科学家在控制精度方面开创了一项新技术。,
75,Amusement Attendant,娱乐服务员,游乐场工作人员
76,Analyzing data and information,分析数据和信息,
77,Anesthesiologist,麻醉师,
78,Animal Control Worker,动物管理人员,
79,"Animal Sciences, General",动物科学，普通,动物科学（普通）
80,Animal Scientist,动物科学家,
81,Animal Trainer,驯兽师,
82,"Antarctic scientists pioneered a new technique in outdoors, exposed to weather today.",今天，南极科学家开创了一项暴露于户外天气的新技术。,
83,Antarctic scientists unveiled an algorithm capable of night vision.,南极科学家公布了一种夜视算法。,
84,Anthropologist/Archeaologist,人类学家/考古学家,
85,Anthropology,人类学,
86,Antiguan scientists performs multilimb coordination like a human.,安提瓜科学家执行像人类一样的多肢体协调。,安提瓜科学家发明的一种算法可以像人类一样进行多肢体协调的操作。
87,Apparel and Textile Manufacture,服装和纺织制造业,
88,Appliance Installation and Repair Technology/Technician,电器安装和修理技术/技师,
89,Applications Software Developer,应用软件开发师,
90,"Applied Horticulture/Horticulture Operations, General",应用园艺/园艺运营，一般,应用园艺学/园艺运营（普通）
91,Apr,四月,
92,Arbitrator,仲裁员,
93,Architect,建筑师,
94,Architectural And Engineering Manager,建筑与工程经理,
95,Architectural Drafter,建筑制图员,建筑绘图员
96,Architecture,建筑,
97,Archivist,档案管理员,
98,Arm-Hand Steadiness,手臂稳定,手臂稳定性
99,Art Director,艺术总监,
100,"Art History, Criticism and Conservation",艺术史、批评与保护,艺术史、艺术评论和艺术保护
101,"Art/Art Studies, General",艺术/艺术研究，普通,艺术/艺术研究（普通）
102,"Artist, Performer, And Athlete Agent",艺术家、演员和运动员经纪人,艺术家、表演者和运动员的经纪人
103,Artistic,艺术的,
104,Arts and Humanities,艺术和人文,
105,"Arts, Entertainment, and Recreation",艺术、娱乐和休闲,
106,Assisting and Caring for Others,协助和照顾他人,
107,Astronomer,天文学家,
108,Astronomy,天文学,
109,Athlete,运动员,
110,Athletic Trainer,体育教练,
111,Athletic Training/Trainer,体育训练/教练,
112,"Atmospheric Sciences and Meteorology, General",大气科学和气象学,大气科学和气象学（普通）
113,Atmospheric Scientist,高等教育科学家,大气科学家
114,Audio And Video Equipment Technician,音频和视频设备技师,
115,Audiologist,听力学专家,听力学家
116,Audiology/Audiologist and Speech-Language Pathology/Pathologist,听力学/听力学家和言语病理学/病理学家,
117,Auditory Attention,听觉注意力,
118,Aug,八月,
119,Australian scientists performs depth perception like a human.,澳大利亚科学家执行像人类一样的深度感知。,澳大利亚科学家发明的一种新算法可以像人类一样进行深度感知的操作。
120,Austrian researchers pioneered a new technique in mechanical today.,今天，奥地利研究人员在机械方面开创了一种新技术。,今天，奥地利研究人员在机械方面开创了一项新技术。
121,Auto Insurance Appraiser,汽车保险评估师,
122,Autobody/Collision and Repair Technology/Technician,车身/碰撞与修复技术/技术员,
123,Automobile/Automotive Mechanics Technology/Technician,汽车/汽车机械技术/技师,
124,Automotive And Watercraft Service Attendant,汽车和船舶服务服务员,汽车和船舶服务员
125,Automotive Body Repairer,汽车修理工,汽车车身修理工
126,Automotive Glass Installer/Repairer,汽车玻璃安装/修理工,汽车玻璃安装工/修理工
127,Automotive Mechanic,汽车机械师,
128,Avionics Maintenance Technology/Technician,航空电子维修技术/技师,航空电子设备维护技术/技师
129,Avionics Technician,航空电子设备技师,
130,Azeri engineers unveiled an algorithm capable of gross body equilibrium.,阿泽里工程师们公布了一种人体整体平衡的算法。,阿塞拜疆工程师公布的一项新算法可以像人类一样保持整体身体平衡。
131,Baggage Porter,行李搬运工,
132,Bahamian researchers performs spend time standing like a human.,巴哈马的研究人员执行像人类一样站立。,巴哈马研究人员发明的一种新算法可以像人类一样花费时间执行站立的动作。
133,Bahraini engineers performs hearing sensitivity like a human.,巴林的工程师执行像人类一样的听觉敏感度。,巴林工程师发明的一项新算法可以像人类一样拥有听觉敏感度。
134,Bailiff,法警,
135,Baker,面包师,烘培师
136,Baking and Pastry Arts/Baker/Pastry Chef,烘焙和糕点艺术/面包师/糕点师,烘焙和糕点艺术/烘培师/糕点师
137,Banking and Financial Support Services,银行和金融支持服务,
138,Barber,理发师,
139,Barbering/Barber,理发/理发师,
140,Bartender,调酒师,
141,Bartending/Bartender,调酒/调酒师,
142,Basotho researchers performs spend time making repetitive motions like a human.,巴索托（Basotho）研究人员执行像人类一样做重复的动作。,巴苏陀研究人员发明的一种新算法可以像人类一样花费时间执行重复动作。
143,Being competitive,有竞争力|,竞争力强
144,Being exact or accurate,精确或正确,表达准确或精准
145,Being responsible for others' health and safety,对他人的健康和安全负责,对他人的健康和安全有责任心
146,Being responsible for outcomes,对结果负责,对结果有责任心
147,Belizean scientists unveiled an algorithm capable of auditory attention.,伯利兹的科学家们公布了一种听觉注意力的算法。,伯利兹科学家公布的一种新算法可以像人类一样拥有听觉注意力。
148,Bending and twisting the body,弯曲和扭曲身体,弯曲和扭动身体
149,Bible/Biblical Studies,圣经/圣经研究,
150,Bicycle Repairer,自行车修理工,
151,Bill And Account Collector,收账员,收账人
152,Billing Clerk,开票员,
153,Biochemist/Biophysicist,生物化学家/生物物理学家,
154,Biochemistry,生物化学,
155,Bioengineering and Biomedical Engineering,生物工程和生物医学工程,
156,Biological Scientist,生物科学家,
157,Biological Technician,生物技师,生物技术人员
158,Biology,生物学,
159,Biology Technician/Biotechnology Laboratory Technician,生物技师/生物技术实验室技师,生物技术人员/生物工程实验室技术人员
160,"Biology/Biological Sciences, General",生物学/生物科学，普通,生物学/生物科学（普通）
161,Biomedical Engineer,生物医学工程师,
162,Biomedical Technology/Technician,生物医学技术/技师,生物医学技术/技术人员
163,Blasting/Blaster,爆破/爆破工,
164,Boiler Operator,锅炉工,
165,Boilermaker,锅炉制造工,
166,Boilermaking/Boilermaker,锅炉制造/锅炉制造工,
167,Booth Cashier,展位兑钞员,展位收银员
168,Bosnian scientists unveiled an algorithm capable of deal with external customers.,波斯尼亚科学家公布了一种能够与外部客户打交道的算法。,波斯尼亚科学家公布的一种新算法可以与外来客户打交道。
169,Bouvet Island scientists performs time sharing like a human.,布维岛的科学家执行像人类一样分时。,布维岛科学家发明的一种新算法可以像人类一样执行分时。
170,Bouvet Island scientists pioneered a new technique in physical proximity today.,今天，布维岛的科学家们在身体靠近方面开创了一项新技术。,今天，布维岛科学家在物理接近方面开创了一项新技术。
171,Brazilian scientists pioneered a new technique in exposed to high places today.,今天，巴西科学家在开创了一项暴露于高处的新技术。,今天，巴西科学家开创了一项可以在高处执行任务的新技术。
172,Brickmason,砖匠,砌砖工
173,Bridge And Lock Tenders,桥梁和船闸投标员,
174,British Virgin Island engineers pioneered a new technique in quality control analysis today.,今天，英属维尔京群岛的工程师开创了一种新的质量控制分析技术。,今天，英属维京群岛工程师在质量控制分析方面开创了一项新技术。
175,"British engineers performs inspecting equipment, structures, or material like a human.",英国工程师执行像人类一样检查设备、结构或材料。,英国工程师发明的一种新算法可以像人类一样检查设备、结构、材料。
176,British scientists pioneered a new technique in building and construction today.,今天，英国科学家在建筑方面开创了一种新技术。,今天，英国科学家在建设施工方面开创了一项新技术。
177,British scientists unveiled an algorithm capable of very hot or cold temperatures.,英国科学家公布了一种可以在极高或极低温度下工作的算法。,
178,Broadcast News Analyst,广播新闻分析师,
179,Broadcast Technician,广播技师,广播技术人员
180,Brokerage Clerk,经纪文员,证券经纪人
181,Bruneian scientists pioneered a new technique in time pressure today.,今天，布鲁尼的科学家开创了一种时间压力的新技术。,今天，汶莱科学家在时间压力方面开创了一项新技术。
182,Budget Analyst,预算分析师,
183,Building and Construction,建筑和施工,
184,Building/Construction Site Management/Manager,建筑/施工现场管理/经理,
185,Building/Home/Construction Inspection/Inspector,建筑物/房屋/施工检查/检查员,
186,Building/Property Maintenance,建筑/房地产维护,建筑/物业维护
187,"Burkinabé researchers performs indoors, not environmentally controlled like a human.",Burkinab√©研究人员执行像人类一样在室内行动，而不受环境控制。,布吉纳法索研究人员发明的一种新算法可以在室内操作，不像人类一样受环境限制。
188,Burmese researchers unveiled an algorithm capable of visual color discrimination.,缅甸研究人员公布了一种视觉颜色识别的算法。,缅甸研究人员公布的一种新算法拥有视觉颜色识别能力。
189,"Business Administration and Management, General",工商管理，普通,工商管理（普通）
190,Business Operations Specialist,业务运营专员,业务运营专家
191,Business and Management,商业和管理,
192,Business/Office Automation/Technology/Data Entry,商业/办公自动化/技术/数据输入,
193,Butcher,屠夫,
194,Buyer,采购员,
195,Cabinetmaker,家具师,橱柜匠
196,Cabinetmaking and Millwork,橱柜制作和细木工,橱柜制作和磨光
197,Cafeteria Attendant,自助餐厅服务员,
198,Cafeteria Cook,自助餐厅厨师,
199,Cambodian engineers performs dynamic strength like a human.,柬埔寨的工程师们执行像人类一样的动态强度。,柬埔寨工程师发明的一种新算法可以像人类一样操作动态强度。
200,Camera Operators,摄像机操作员,
201,Canadian engineers unveiled an algorithm capable of level of competition.,加拿大工程师公布了一种竞争力水平算法。,加拿大工程师发布的一种新算法可以像人类一样保持一定的竞争力水平。
202,Cardiovascular Technologist,心血管技术员,
203,Cardiovascular Technology/Technologist,心血管技术/技术员,
204,Cargo And Freight Agent,货运代理,货运和船运代理
205,Carpenter,木匠,
206,Carpenter Helper,木匠助手,
207,Carpentry/Carpenter,木工/木匠,
208,Carpet Installer,地毯安装工,
209,"Carpet, Floor, and Tile Worker",地毯、地板和瓷砖工,
210,Cartographer,制图员,
211,Cashier,收银员,
212,Casino Management,赌场管理,
213,Category Flexibility,类别灵活性,
214,Cement Masons And Concrete Finisher,水泥泥瓦和混凝土饰面工,泥瓦匠和水泥工
215,Central African engineers pioneered a new technique in sound localization today.,中非的工程师们今天开创了一种声音定位的新技术。,今天，中非工程师在声音定位方面开创了一项新技术。
216,Chef,厨师,
217,Chemical Engineer,化学工程师,
218,Chemical Engineering,化学工程,
219,Chemical Equipment Operator,化工设备操作员,
220,Chemical Plant Operator,化工厂操作员,
221,Chemical Technician,化学技师,化学技术人员
222,Chemical Technology/Technician,化学技术/技师,化学技术/技术人员
223,Chemist,化学家,
224,Chemistry,化学,
225,"Chemistry, General",化学，普通,化学（普通）
226,Chief Executive,首席执行官,
227,Child Care Provider/Assistant,儿童保健师/助理,儿童保育员/助手
228,Child Development,儿童发展,
229,Childcare Worker,儿童保育员,
230,Chinese scientists unveiled an algorithm capable of spend time keeping or regaining balance.,中国科学家公布了一种能够保持或恢复平衡的算法。,中国科学家公布了一种新算法拥有保持或恢复平衡的能力。
231,Chiropractic,脊椎按摩疗法,
232,Chiropractor,脊椎按摩师,
233,Choreographer,编舞,
234,Christmas Island scientists performs consequence of error like a human.,圣诞岛科学家执行像人类一样处理错误后果。,圣诞岛科学家发明的一种新算法可以像人类一样处理失误后果。
235,Christmas Island scientists performs transportation like a human.,圣诞岛的科学家执行像人类一样进行运输。,圣诞岛科学家发明的一种新算法可以像人类一样进行运输的操作。
236,Cinematography and Film/Video Production,电影摄影和电影/视频制作,摄影和电影/视频制作
237,"City/Urban, Community and Regional Planning",城市/城区、社区和区域规划,
238,Civil Engineer,土木工程师,
239,"Civil Engineering, General",土木工程，普通,土木工程（普通）
240,Civil Technician,土木技师,土木技术人员
241,Claims Investigator,理赔调查员,
242,Clergy,神职人员,
243,Clerical,文书的,文书工作
244,Clerical Library Assistant,图书馆文员,
245,"Climbing ladders, scaffolds, and poles",爬梯子、脚手架和杆子,
246,Clinical Laboratory Science/Medical Technology/Technologist,临床检验科学/医疗技术/技术员,临床实验科学/医疗技术/技术员
247,Clinical Psychologist,临床心理学家,
248,Clinical/Medical Laboratory Technician,临床/医学实验室技术员,临床/医疗实验室技术人员
249,Coach/Scout,教练/侦察员,
250,Coaching and Developing Others,指导和发展他人,
251,Coating/Spraying Machine Operator,涂层/喷涂机床操作员,涂布机/喷涂机操作员
252,Cocos Island engineers performs extremely bright or inadequate lighting like a human.,科科斯岛的工程师们执行像人类一样暴露于极其明亮或昏暗的照明环境。,科科斯岛工程师发明的一种新算法可以像人类一样在强光或不足光的情况下工作。
253,Cognitive Abilities,认知能力,
254,Coil Winder,卷线机,
255,Commercial Diver,商业潜水员,
256,Commercial Pilot,商业飞行员,
257,Communicating with Persons Outside Organization,与组织外部人员沟通,
258,"Communicating with Supervisors, Peers, or Subordinates",与主管、同事或下属沟通,
259,Communications,通信,
260,Communications Systems Installation and Repair Technology,通信系统安装与修理技术,
261,Communications and Media,传播和媒体,
262,Community Health Worker,社区卫生工作者,
263,Community Organization and Advocacy,社区组织和宣传,
264,Comorian researchers pioneered a new technique in on-the-job training today.,科摩罗的研究人员今天开创了一种在职培训新技术。,今天，科摩罗研究人员开创了一项在职培训的新技术。
265,Compensation And Benefits Manager,薪酬福利经理,
266,Complex Problem Solving,解决复杂问题,
267,Complex Problem Solving Skills,复杂问题解决技能,解决复杂问题的能力
268,Compliance Officer,合规官,合规官员
269,Computer And Information Systems Manager,计算机和信息系统经理,
270,"Computer Engineering, General",计算机工程，普通,计算机工程（普通）
271,Computer Hardware Engineer,计算机硬件工程师,
272,Computer Installation and Repair Technology/Technician,电脑安装和维修技术/技师,
273,Computer Network Architect,计算机网络架构师,
274,Computer Network Support Specialist,计算机网络支持专员,计算机网络支持专家
275,Computer Numerically Controlled (CNC) Machinist Technology/CNC Machinist,计算机数控（CNC）机械师技术/计算机数控机械师,计算机数控技术机械师技术/机械师
276,Computer Operator,计算机操作员,
277,Computer Programmer,计算机程序员,
278,Computer Repairer,计算机修理工,
279,Computer Science,计算机科学,
280,Computer Scientist,计算机科学家,
281,Computer Support Specialist,计算机支持专员,计算机支持专家
282,Computer Systems Analyst,计算机系统分析员,
283,Computer Technician,计算机技师,
284,Computer User Support Specialist,计算机用户支持专员,计算机用户支持专家
285,"Computer and Information Sciences, General",计算机和信息科学，普通,计算机和信息科学（普通）
